# dETL = 58.7 nm,dETL = 61.6 nm,dETL = 60.2 nm,dETL = 56.9 nm,dETL = 63 nm,dETL = 70.3 nm
1.076864759754829824e+20,1.070525465864690401e+20,1.074351447820116951e+20,1.073232581869988905e+20,1.057199728707857285e+20,9.412596681073418240e+19
1.079240737742177239e+20,1.073443563741349315e+20,1.077089275344967270e+20,1.075249451221653094e+20,1.060472915876745380e+20,9.456018286302468506e+19
1.081603870621704684e+20,1.076350252413241590e+20,1.079815153828744397e+20,1.077252808557285376e+20,1.063735967328479642e+20,9.499404393550952858e+19
1.083954090597706465e+20,1.079245448499892388e+20,1.082529005075181732e+20,1.079242596396443730e+20,1.066988789464779325e+20,9.542753758429103718e+19
1.086291330244699095e+20,1.082129068950334341e+20,1.085230751232847053e+20,1.081218757647727493e+20,1.070231288980662190e+20,9.586065137601029734e+19
1.088615522509348209e+20,1.085001031045485691e+20,1.087920314797369754e+20,1.083181235610411172e+20,1.073463372867110994e+20,9.629337288820350976e+19
1.090926600712398111e+20,1.087861252400524984e+20,1.090597618613667103e+20,1.085129973976073503e+20,1.076684948413746545e+20,9.672568970965852160e+19
1.093224498550575923e+20,1.090709650967249879e+20,1.093262585878152970e+20,1.087064916830208492e+20,1.079895923211482071e+20,9.715758944076999885e+19
1.095509150098497372e+20,1.093546145036431032e+20,1.095915140140939837e+20,1.088986008653830226e+20,1.083096205155173663e+20,9.758905969389531955e+19
1.097780489810554552e+20,1.096370653240153211e+20,1.098555205308033270e+20,1.090893194325063270e+20,1.086285702446259569e+20,9.802008809370964787e+19
1.100038452522795500e+20,1.099183094554149683e+20,1.101182705643509350e+20,1.092786419120723722e+20,1.089464323595392614e+20,9.845066227756056576e+19
1.102282973454792622e+20,1.101983388300123013e+20,1.103797565771688509e+20,1.094665628717888143e+20,1.092631977425063444e+20,9.888076989582250803e+19
1.104513988211498189e+20,1.104771454148058153e+20,1.106399710679295590e+20,1.096530769195448238e+20,1.095788573072212132e+20,9.931039861225085338e+19
1.106731432785092116e+20,1.107547212118526689e+20,1.108989065717609923e+20,1.098381787035661271e+20,1.098934019990835855e+20,9.973953610433547469e+19
1.108935243556816650e+20,1.110310582584978309e+20,1.111565556604605071e+20,1.100218629125680497e+20,1.102068227954582487e+20,1.001681700636541747e+20
